awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,prize_links,category,categoryFullName,motivation,topMotivation,laureates.id,gender,laureate_links,knownName,givenName,familyName,fullName,birth.date,birth.place.city,birth.place.country,birth.place.cityNow,birth.place.countryNow,birth.place.continent,birth.place.locationString,death.date,death.place.city,death.place.country,death.place.cityNow,death.place.countryNow,death.place.continent,death.place.locationString,affiliation.1.name,affiliation.1.nameNow,affiliation.1.city,affiliation.1.country,affiliation.1.cityNow,affiliation.1.countryNow,affiliation.1.locationString,affiliation.2.name,affiliation.2.nameNow,affiliation.2.city,affiliation.2.country,affiliation.2.cityNow,affiliation.2.countryNow,affiliation.2.locationString,affiliation.3.name,affiliation.3.nameNow,affiliation.3.locationString,affiliation.3.city,affiliation.3.country,affiliation.3.cityNow,affiliation.3.countryNow,affiliation.4.name,affiliation.4.nameNow,affiliation.4.city,affiliation.4.country,affiliation.4.cityNow,affiliation.4.countryNow,affiliation.4.locationString,residence.1.country,residence.1.countryNow,residence.1.locationString,residence.1.city,residence.1.cityNow,residence.2.country,residence.2.countryNow,residence.2.locationString,acronym,orgName,founded.year,founded.place.city,founded.place.country,founded.place.cityNow,founded.place.countryNow,founded.place.continent,founded.place.locationString,nativeName,penName,foundedCountry,foundedCountryNow,foundedContinent
1953,1,1,1953-10-30,received,175293,2614331,https://www.nobelprize.org/prizes/peace/1953/summary/,Peace,The Nobel Peace Prize,for proposing and supervising the plan for the economic recovery of Europe,,514,male,https://www.nobelprize.org/laureate/514,George C. Marshall,George C.,Marshall,George Catlett Marshall,1880-12-31,"Uniontown, PA",USA,"Uniontown, PA",USA,North America,"Uniontown, PA, USA",1959-10-16,"Washington, DC",USA,"Washington, DC",USA,North America,"Washington, DC, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,1,1,,received,175293,2614331,https://www.nobelprize.org/prizes/physics/1953/summary/,Physics,The Nobel Prize in Physics,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",,60,male,https://www.nobelprize.org/laureate/60,Frits Zernike,Frits,Zernike,Frits Zernike,1888-07-16,Amsterdam,the Netherlands,Amsterdam,the Netherlands,Europe,"Amsterdam, the Netherlands",1966-03-10,Groningen,the Netherlands,Groningen,the Netherlands,Europe,"Groningen, the Netherlands",Groningen University,Groningen University,Groningen,the Netherlands,Groningen,the Netherlands,"Groningen, the Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,2,1/2,,received,175293,2614331,https://www.nobelprize.org/prizes/medicine/1953/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of co-enzyme A and its importance for intermediary metabolism,,355,male,https://www.nobelprize.org/laureate/355,Fritz Lipmann,Fritz,Lipmann,Fritz Albert Lipmann,1899-06-12,Koenigsberg,Germany,Kaliningrad,Russia,Europe,"Koenigsberg, Germany (now Kaliningrad, Russia)",1986-07-24,"Poughkeepsie, NY",USA,"Poughkeepsie, NY",USA,North America,"Poughkeepsie, NY, USA",Harvard Medical School,Harvard Medical School,"Boston, MA",USA,"Boston, MA",USA,"Boston, MA, USA",Massachusetts General Hospital,Massachusetts General Hospital,"Boston, MA",USA,"Boston, MA",USA,"Boston, MA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,1,1/2,,received,175293,2614331,https://www.nobelprize.org/prizes/medicine/1953/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of the citric acid cycle,,354,male,https://www.nobelprize.org/laureate/354,Hans Krebs,Hans,Krebs,Hans Adolf Krebs,1900-08-25,Hildesheim,Germany,Hildesheim,Germany,Europe,"Hildesheim, Germany",1981-11-22,Oxford,United Kingdom,Oxford,United Kingdom,Europe,"Oxford, United Kingdom",Sheffield University,Sheffield University,Sheffield,United Kingdom,Sheffield,United Kingdom,"Sheffield, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1,1,,received,181647,2688094,https://www.nobelprize.org/prizes/chemistry/1954/summary/,Chemistry,The Nobel Prize in Chemistry,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,,217,male,https://www.nobelprize.org/laureate/217,Linus Pauling,Linus,Pauling,Linus Carl Pauling,1901-02-28,"Portland, OR",USA,"Portland, OR",USA,North America,"Portland, OR, USA",1994-08-19,"Big Sur, CA",USA,"Big Sur, CA",USA,North America,"Big Sur, CA, USA",California Institute of Technology (Caltech),California Institute of Technology (Caltech),"Pasadena, CA",USA,"Pasadena, CA",USA,"Pasadena, CA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1,1,,received,181647,2688094,https://www.nobelprize.org/prizes/literature/1954/summary/,Literature,The Nobel Prize in Literature,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",,625,male,https://www.nobelprize.org/laureate/625,Ernest Hemingway,Ernest,Hemingway,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",USA,"Oak Park, IL",USA,North America,"Oak Park, IL, USA",1961-07-02,"Ketchum, ID",USA,"Ketchum, ID",USA,North America,"Ketchum, ID, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1,1,1955-11-05,received,181647,2688094,https://www.nobelprize.org/prizes/peace/1954/summary/,Peace,The Nobel Peace Prize,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,,515,,https://www.nobelprize.org/laureate/515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNHCR,Office of the United Nations High Commissioner for Refugees,1950,Geneva,Switzerland,Geneva,Switzerland,Europe,"Geneva, Switzerland",Office of the United Nations High Commissioner for Refugees,,,,
1954,1,1/2,,received,181647,2688094,https://www.nobelprize.org/prizes/physics/1954/summary/,Physics,The Nobel Prize in Physics,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",,61,male,https://www.nobelprize.org/laureate/61,Max Born,Max,Born,Max Born,1882-12-11,Breslau,Germany,Wroclaw,Poland,Europe,"Breslau, Germany (now Wroclaw, Poland)",1970-01-05,Göttingen,West Germany,Göttingen,Germany,Europe,"Göttingen, West Germany (now Germany)",Edinburgh University,Edinburgh University,Edinburgh,United Kingdom,Edinburgh,United Kingdom,"Edinburgh, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,2,1/2,,received,181647,2688094,https://www.nobelprize.org/prizes/physics/1954/summary/,Physics,The Nobel Prize in Physics,for the coincidence method and his discoveries made therewith,,62,male,https://www.nobelprize.org/laureate/62,Walther Bothe,Walther,Bothe,Walther Bothe,1891-01-08,Oranienburg,Germany,Oranienburg,Germany,Europe,"Oranienburg, Germany",1957-02-08,Heidelberg,West Germany,Heidelberg,Germany,Europe,"Heidelberg, West Germany (now Germany)",University of Heidelberg,University of Heidelberg,Heidelberg,Germany,Heidelberg,Germany,"Heidelberg, Germany",Max-Planck-Institut für medizinische Forschung,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,Heidelberg,Germany,"Heidelberg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,3,1/3,,received,181647,2688094,https://www.nobelprize.org/prizes/medicine/1954/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,,358,male,https://www.nobelprize.org/laureate/358,Frederick C. Robbins,Frederick C.,Robbins,Frederick Chapman Robbins,1916-08-25,"Auburn, AL",USA,"Auburn, AL",USA,North America,"Auburn, AL, USA",2003-08-04,"Cleveland, OH",USA,"Cleveland, OH",USA,North America,"Cleveland, OH, USA",Western Reserve University,Western Reserve University,"Cleveland, OH",USA,"Cleveland, OH",USA,"Cleveland, OH, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1,1/3,,received,181647,2688094,https://www.nobelprize.org/prizes/medicine/1954/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,,356,male,https://www.nobelprize.org/laureate/356,John F. Enders,John F.,Enders,John Franklin Enders,1897-02-10,"West Hartford, CT",USA,"West Hartford, CT",USA,North America,"West Hartford, CT, USA",1985-09-08,"Waterford, CT",USA,"Waterford, CT",USA,North America,"Waterford, CT, USA",Harvard Medical School,Harvard Medical School,"Boston, MA",USA,"Boston, MA",USA,"Boston, MA, USA","Research Division of Infectious Diseases, Children's Medical Center","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",USA,"Boston, MA",USA,"Boston, MA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,2,1/3,,received,181647,2688094,https://www.nobelprize.org/prizes/medicine/1954/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,,357,male,https://www.nobelprize.org/laureate/357,Thomas H. Weller,Thomas H.,Weller,Thomas Huckle Weller,1915-06-15,"Ann Arbor, MI",USA,"Ann Arbor, MI",USA,North America,"Ann Arbor, MI, USA",2008-08-23,"Needham, MA",USA,"Needham, MA",USA,North America,"Needham, MA, USA","Research Division of Infectious Diseases, Children's Medical Center","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",USA,"Boston, MA",USA,"Boston, MA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1,1,1955-11-02,received,190214,2730214,https://www.nobelprize.org/prizes/chemistry/1955/summary/,Chemistry,The Nobel Prize in Chemistry,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone",,218,male,https://www.nobelprize.org/laureate/218,Vincent du Vigneaud,Vincent,du Vigneaud,Vincent du Vigneaud,1901-05-18,"Chicago, IL",USA,"Chicago, IL",USA,North America,"Chicago, IL, USA",1978-12-11,"White Plains, NY",USA,"White Plains, NY",USA,North America,"White Plains, NY, USA",Cornell University,Cornell University,"Ithaca, NY",USA,"Ithaca, NY",USA,"Ithaca, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1,1,1955-10-27,received,190214,2730214,https://www.nobelprize.org/prizes/literature/1955/summary/,Literature,The Nobel Prize in Literature,for his vivid epic power which has renewed the great narrative art of Iceland,,626,male,https://www.nobelprize.org/laureate/626,Halldór Laxness,Halldór,Laxness,Halldór Kiljan Laxness,1902-04-23,Reykjavik,Iceland,Reykjavik,Iceland,Europe,"Reykjavik, Iceland",1998-02-08,Reykjavik,Iceland,Reykjavik,Iceland,Europe,"Reykjavik, Iceland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,2,1/2,1955-11-02,received,190214,2730214,https://www.nobelprize.org/prizes/physics/1955/summary/,Physics,The Nobel Prize in Physics,for his precision determination of the magnetic moment of the electron,,64,male,https://www.nobelprize.org/laureate/64,Polykarp Kusch,Polykarp,Kusch,Polykarp Kusch,1911-01-26,Blankenburg,Germany,Blankenburg,Germany,Europe,"Blankenburg, Germany",1993-03-20,"Dallas, TX",USA,"Dallas, TX",USA,North America,"Dallas, TX, USA",Columbia University,Columbia University,"New York, NY",USA,"New York, NY",USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1,1/2,1955-11-02,received,190214,2730214,https://www.nobelprize.org/prizes/physics/1955/summary/,Physics,The Nobel Prize in Physics,for his discoveries concerning the fine structure of the hydrogen spectrum,,63,male,https://www.nobelprize.org/laureate/63,Willis E. Lamb,Willis E.,Lamb,Willis Eugene Lamb,1913-07-12,"Los Angeles, CA",USA,"Los Angeles, CA",USA,North America,"Los Angeles, CA, USA",2008-05-15,"Tucson, AZ",USA,"Tucson, AZ",USA,North America,"Tucson, AZ, USA",Stanford University,Stanford University,"Stanford, CA",USA,"Stanford, CA",USA,"Stanford, CA, USA",,,,,,,,,,,,,,,,,,,,,,Egypt,Egypt,Egypt,,,,,,,,,,,,,,,,,,,
1955,1,1,1955-10-20,received,190214,2730214,https://www.nobelprize.org/prizes/medicine/1955/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries concerning the nature and mode of action of oxidation enzymes,,359,male,https://www.nobelprize.org/laureate/359,Hugo Theorell,Hugo,Theorell,Axel Hugo Theodor Theorell,1903-07-06,Linköping,Sweden,Linköping,Sweden,Europe,"Linköping, Sweden",1982-08-15,Stockholm,Sweden,Stockholm,Sweden,Europe,"Stockholm, Sweden","Karolinska Institutet, Nobel Medical Institute","Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,Stockholm,Sweden,"Stockholm, Sweden",,,,,,,,,,,,,,,,,,,,,,United Kingdom,United Kingdom,United Kingdom,,,,,,,,,,,,,,,,,,,
1956,2,1/2,,received,200123,2748452,https://www.nobelprize.org/prizes/chemistry/1956/summary/,Chemistry,The Nobel Prize in Chemistry,for their researches into the mechanism of chemical reactions,,220,male,https://www.nobelprize.org/laureate/220,Nikolay Semenov,Nikolay,Semenov,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Saratov,Russia,Europe,"Saratov, Russia",1986-09-25,Moscow,USSR,Moscow,Russia,Europe,"Moscow, USSR (now Russia)",Institute for Chemical Physics of the Academy of Sciences of the USSR,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR,Moscow,Russia,"Moscow, USSR (now Russia)",Lomonosov Moscow State University,Lomonosov Moscow State University,Moscow,USSR,Moscow,Russia,"Moscow, USSR (now Russia)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1,1/2,,received,200123,2748452,https://www.nobelprize.org/prizes/chemistry/1956/summary/,Chemistry,The Nobel Prize in Chemistry,for their researches into the mechanism of chemical reactions,,219,male,https://www.nobelprize.org/laureate/219,Sir Cyril Hinshelwood,Sir Cyril,Hinshelwood,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,London,United Kingdom,Europe,"London, United Kingdom",1967-10-09,London,United Kingdom,London,United Kingdom,Europe,"London, United Kingdom",University of Oxford,University of Oxford,Oxford,United Kingdom,Oxford,United Kingdom,"Oxford, United Kingdom",,,,,,,,,,,,,,,,,,,,,,Liberia,Liberia,Liberia,,,,,,,,,,,,,,,,,,,
1956,1,1,,received,200123,2748452,https://www.nobelprize.org/prizes/literature/1956/summary/,Literature,The Nobel Prize in Literature,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",,627,male,https://www.nobelprize.org/laureate/627,Juan Ramón Jiménez,Juan Ramón,Jiménez,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Moguer,Spain,Europe,"Moguer, Spain",1958-05-29,San Juan,Puerto Rico,San Juan,Puerto Rico,North America,"San Juan, Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guatemala,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,
1956,2,1/3,,received,200123,2748452,https://www.nobelprize.org/prizes/physics/1956/summary/,Physics,The Nobel Prize in Physics,for their researches on semiconductors and their discovery of the transistor effect,,66,male,https://www.nobelprize.org/laureate/66,John Bardeen,John,Bardeen,John Bardeen,1908-05-23,"Madison, WI",USA,"Madison, WI",USA,North America,"Madison, WI, USA",1991-01-30,"Boston, MA",USA,"Boston, MA",USA,North America,"Boston, MA, USA",University of Illinois,University of Illinois,"Urbana, IL",USA,"Urbana, IL",USA,"Urbana, IL, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,3,1/3,,received,200123,2748452,https://www.nobelprize.org/prizes/physics/1956/summary/,Physics,The Nobel Prize in Physics,for their researches on semiconductors and their discovery of the transistor effect,,67,male,https://www.nobelprize.org/laureate/67,Walter H. Brattain,Walter H.,Brattain,Walter Houser Brattain,1902-02-10,Amoy,China,Amoy,China,Asia,"Amoy, China",1987-10-13,"Seattle, WA",USA,"Seattle, WA",USA,North America,"Seattle, WA, USA",Bell Telephone Laboratories,Bell Telephone Laboratories,"Murray Hill, NJ",USA,"Murray Hill, NJ",USA,"Murray Hill, NJ, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1,1/3,,received,200123,2748452,https://www.nobelprize.org/prizes/physics/1956/summary/,Physics,The Nobel Prize in Physics,for their researches on semiconductors and their discovery of the transistor effect,,65,male,https://www.nobelprize.org/laureate/65,William B. Shockley,William B.,Shockley,William Bradford Shockley,1910-02-13,London,United Kingdom,London,United Kingdom,Europe,"London, United Kingdom",1989-08-12,"Palo Alto, CA",USA,"Palo Alto, CA",USA,North America,"Palo Alto, CA, USA","Semiconductor Laboratory of Beckman Instruments, Inc.","Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",USA,"Mountain View, CA",USA,"Mountain View, CA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1,1/3,,received,200123,2748452,https://www.nobelprize.org/prizes/medicine/1956/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,,360,male,https://www.nobelprize.org/laureate/360,André F. Cournand,André F.,Cournand,André Frédéric Cournand,1895-09-24,Paris,France,Paris,France,Europe,"Paris, France",1988-02-19,"Great Barrington, MA",USA,"Great Barrington, MA",USA,North America,"Great Barrington, MA, USA","Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA,"New York, NY",USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,3,1/3,,received,200123,2748452,https://www.nobelprize.org/prizes/medicine/1956/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,,362,male,https://www.nobelprize.org/laureate/362,Dickinson W. Richards,Dickinson W.,Richards,Dickinson W. Richards,1895-10-30,"Orange, NJ",USA,"Orange, NJ",USA,North America,"Orange, NJ, USA",1973-02-23,"Lakeville, CT",USA,"Lakeville, CT",USA,North America,"Lakeville, CT, USA",Columbia University,Columbia University,"New York, NY",USA,"New York, NY",USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,2,1/3,,received,200123,2748452,https://www.nobelprize.org/prizes/medicine/1956/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,,361,male,https://www.nobelprize.org/laureate/361,Werner Forssmann,Werner,Forssmann,Werner Forssmann,1904-08-29,Berlin,Germany,Berlin,Germany,Europe,"Berlin, Germany",1979-06-01,Schopfheim,West Germany,Schopfheim,Germany,Europe,"Schopfheim, West Germany (now Germany)",Mainz University,Mainz University,Mainz,Germany,Mainz,Germany,"Mainz, Germany",,,,,,,,,,,,,,,,,,,,,,Sweden,Sweden,Sweden,,,,,,,,,,,,,,,,,,,
1957,1,1,,received,208629,2746709,https://www.nobelprize.org/prizes/chemistry/1957/summary/,Chemistry,The Nobel Prize in Chemistry,for his work on nucleotides and nucleotide co-enzymes,,221,male,https://www.nobelprize.org/laureate/221,Lord Todd,Lord,Todd,Lord (Alexander R.) Todd,1907-10-02,Glasgow,Scotland,Glasgow,Scotland,Europe,"Glasgow, Scotland",1997-01-10,Cambridge,United Kingdom,Cambridge,United Kingdom,Europe,"Cambridge, United Kingdom",University of Cambridge,University of Cambridge,Cambridge,United Kingdom,Cambridge,United Kingdom,"Cambridge, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1,1,,received,208629,2746709,https://www.nobelprize.org/prizes/literature/1957/summary/,Literature,The Nobel Prize in Literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",,628,male,https://www.nobelprize.org/laureate/628,Albert Camus,Albert,Camus,Albert Camus,1913-11-07,Mondovi,French Algeria,Mondovi,Algeria,Africa,"Mondovi, French Algeria (now Algeria)",1960-01-04,Sens,France,Sens,France,Europe,"Sens, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,USSR,Russia,USSR (now Russia),,,,,,,,,,,,,,,,,,,
1957,1,1,1957-10-03,received,208629,2746709,https://www.nobelprize.org/prizes/peace/1957/summary/,Peace,The Nobel Peace Prize,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,,516,male,https://www.nobelprize.org/laureate/516,Lester Bowles Pearson,Lester Bowles,Pearson,Lester Bowles Pearson,1897-04-23,Toronto,Canada,Toronto,Canada,North America,"Toronto, Canada",1972-12-27,Ottawa,Canada,Ottawa,Canada,North America,"Ottawa, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1,1/2,,received,208629,2746709,https://www.nobelprize.org/prizes/physics/1957/summary/,Physics,The Nobel Prize in Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,,68,male,https://www.nobelprize.org/laureate/68,Chen Ning Yang,Chen Ning,Yang,Chen Ning Yang,1922-09-22,"Hofei, Anhwei",China,"Hofei, Anhwei",China,Asia,"Hofei, Anhwei, China",,,,,,,,Institute for Advanced Study,Institute for Advanced Study,"Princeton, NJ",USA,"Princeton, NJ",USA,"Princeton, NJ, USA",,,,,,,,,,,,,,,,,,,,,,France,France,France,,,,,,,,,,,,,,,,,,,
1957,2,1/2,,received,208629,2746709,https://www.nobelprize.org/prizes/physics/1957/summary/,Physics,The Nobel Prize in Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,,69,male,https://www.nobelprize.org/laureate/69,Tsung-Dao Lee,Tsung-Dao,Lee,Tsung-Dao (T.D.) Lee,1926-11-24,Shanghai,China,Shanghai,China,Asia,"Shanghai, China",,,,,,,,Columbia University,Columbia University,"New York, NY",USA,"New York, NY",USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1,1,,received,208629,2746709,https://www.nobelprize.org/prizes/medicine/1957/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",,363,male,https://www.nobelprize.org/laureate/363,Daniel Bovet,Daniel,Bovet,Daniel Bovet,1907-03-23,Neuchâtel,Switzerland,Neuchâtel,Switzerland,Europe,"Neuchâtel, Switzerland",1992-04-08,Rome,Italy,Rome,Italy,Europe,"Rome, Italy",Istituto Superiore di Sanità (Chief Institute of Public Health),Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,Rome,Italy,"Rome, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,1,1,,received,214559,2694692,https://www.nobelprize.org/prizes/chemistry/1958/summary/,Chemistry,The Nobel Prize in Chemistry,"for his work on the structure of proteins, especially that of insulin",,222,male,https://www.nobelprize.org/laureate/222,Frederick Sanger,Frederick,Sanger,Frederick Sanger,1918-08-13,Rendcombe,United Kingdom,Rendcombe,United Kingdom,Europe,"Rendcombe, United Kingdom",2013-11-19,Cambridge,United Kingdom,Cambridge,United Kingdom,Europe,"Cambridge, United Kingdom",University of Cambridge,University of Cambridge,Cambridge,United Kingdom,Cambridge,United Kingdom,"Cambridge, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,1,1,,restricted,214559,2694692,https://www.nobelprize.org/prizes/literature/1958/summary/,Literature,The Nobel Prize in Literature,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,,629,male,https://www.nobelprize.org/laureate/629,Boris Pasternak,Boris,Pasternak,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,Moscow,Russia,Europe,"Moscow, Russia",1960-05-30,Peredelkino,Russia,Peredelkino,Russia,Europe,"Peredelkino, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,USSR,Russia,USSR (now Russia),,,,,,,,,,,,,,,,,,,
1958,1,1,1958-11-10,received,214559,2694692,https://www.nobelprize.org/prizes/peace/1958/summary/,Peace,The Nobel Peace Prize,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,,517,male,https://www.nobelprize.org/laureate/517,Georges Pire,Georges,Pire,Georges Pire,1910-02-10,Dinant,Belgium,Dinant,Belgium,Europe,"Dinant, Belgium",1969-01-30,Leuven,Belgium,Leuven,Belgium,Europe,"Leuven, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,3,1/3,,received,214559,2694692,https://www.nobelprize.org/prizes/physics/1958/summary/,Physics,The Nobel Prize in Physics,for the discovery and the interpretation of the Cherenkov effect,,71,male,https://www.nobelprize.org/laureate/71,Igor Y. Tamm,Igor Y.,Tamm,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Vladivostok,Russia,Europe,"Vladivostok, Russia",1971-04-12,Moscow,USSR,Moscow,Russia,Europe,"Moscow, USSR (now Russia)",Lomonosov Moscow State University,Lomonosov Moscow State University,Moscow,USSR,Moscow,Russia,"Moscow, USSR (now Russia)",P.N. Lebedev Physical Institute,P.N. Lebedev Physical Institute,Moscow,USSR,Moscow,Russia,"Moscow, USSR (now Russia)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,2,1/3,,received,214559,2694692,https://www.nobelprize.org/prizes/physics/1958/summary/,Physics,The Nobel Prize in Physics,for the discovery and the interpretation of the Cherenkov effect,,721,male,https://www.nobelprize.org/laureate/721,Il´ja M. Frank,Il´ja M.,Frank,Il´ja Mikhailovich Frank,1908-10-23,Leningrad,Russia,St. Petersburg,Russia,Europe,"Leningrad (now St. Petersburg), Russia",1990-06-22,Moscow,USSR,Moscow,Russia,Europe,"Moscow, USSR (now Russia)",Lomonosov Moscow State University,Lomonosov Moscow State University,Moscow,USSR,Moscow,Russia,"Moscow, USSR (now Russia)",P.N. Lebedev Physical Institute,P.N. Lebedev Physical Institute,Moscow,USSR,Moscow,Russia,"Moscow, USSR (now Russia)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,1,1/3,,received,214559,2694692,https://www.nobelprize.org/prizes/physics/1958/summary/,Physics,The Nobel Prize in Physics,for the discovery and the interpretation of the Cherenkov effect,,70,male,https://www.nobelprize.org/laureate/70,Pavel A. Cherenkov,Pavel A.,Cherenkov,Pavel Alekseyevich Cherenkov,1904-07-28,Novaya Chigla,Russia,Novaya Chigla,Russia,Europe,"Novaya Chigla, Russia",1990-01-06,,USSR,,Russia,Europe,USSR (now Russia),P.N. Lebedev Physical Institute,P.N. Lebedev Physical Institute,Moscow,USSR,Moscow,Russia,"Moscow, USSR (now Russia)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
