awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,prize_links,category,categoryFullName,motivation,topMotivation,laureates.id,gender,laureate_links,knownName,givenName,familyName,fullName,birth.date,birth.place.city,birth.place.country,birth.place.cityNow,birth.place.countryNow,birth.place.continent,birth.place.locationString,death.date,death.place.city,death.place.country,death.place.cityNow,death.place.countryNow,death.place.continent,death.place.locationString,affiliation.1.name,affiliation.1.nameNow,affiliation.1.city,affiliation.1.country,affiliation.1.cityNow,affiliation.1.countryNow,affiliation.1.locationString,affiliation.2.name,affiliation.2.nameNow,affiliation.2.city,affiliation.2.country,affiliation.2.cityNow,affiliation.2.countryNow,affiliation.2.locationString,affiliation.3.name,affiliation.3.nameNow,affiliation.3.locationString,affiliation.3.city,affiliation.3.country,affiliation.3.cityNow,affiliation.3.countryNow,affiliation.4.name,affiliation.4.nameNow,affiliation.4.city,affiliation.4.country,affiliation.4.cityNow,affiliation.4.countryNow,affiliation.4.locationString,residence.1.country,residence.1.countryNow,residence.1.locationString,residence.1.city,residence.1.cityNow,residence.2.country,residence.2.countryNow,residence.2.locationString,acronym,orgName,founded.year,founded.place.city,founded.place.country,founded.place.cityNow,founded.place.countryNow,founded.place.continent,founded.place.locationString,nativeName,penName,foundedCountry,foundedCountryNow,foundedContinent
2007,3,1/3,2007-10-15,received,10000000,11506932,https://www.nobelprize.org/prizes/economic-sciences/2007/summary/,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for having laid the foundations of mechanism design theory,,822,male,https://www.nobelprize.org/laureate/822,Roger B. Myerson,Roger B.,Myerson,Roger B. Myerson,1951-03-29,"Boston, MA",USA,"Boston, MA",USA,North America,"Boston, MA, USA",,,,,,,,University of Chicago,University of Chicago,"Chicago, IL",USA,"Chicago, IL",USA,"Chicago, IL, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,1,2007-10-11,received,10000000,11506932,https://www.nobelprize.org/prizes/literature/2007/summary/,Literature,The Nobel Prize in Literature,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny",,817,female,https://www.nobelprize.org/laureate/817,Doris Lessing,Doris,Lessing,Doris Lessing,1919-10-22,Kermanshah,Persia,Kermanshah,Iran,Asia,"Kermanshah, Persia (now Iran)",2013-11-17,London,United Kingdom,London,United Kingdom,Europe,"London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ireland,Ireland,Ireland,,,,,,,,,,,,,,,,,,,
2007,2,1/2,2007-10-12,received,10000000,11506932,https://www.nobelprize.org/prizes/peace/2007/summary/,Peace,The Nobel Peace Prize,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",,819,male,https://www.nobelprize.org/laureate/819,Al Gore,Al,Gore,Albert Arnold (Al) Gore Jr.,1948-03-31,"Washington, DC",USA,"Washington, DC",USA,North America,"Washington, DC, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,1/2,2007-10-12,received,10000000,11506932,https://www.nobelprize.org/prizes/peace/2007/summary/,Peace,The Nobel Peace Prize,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",,818,,https://www.nobelprize.org/laureate/818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,Sweden,Sweden,,,,,,IPCC,Intergovernmental Panel on Climate Change,1988,"New York, NY",USA,"New York, NY",USA,North America,"New York, NY, USA",Intergovernmental Panel on Climate Change,,,,
2007,1,1/2,2007-10-09,received,10000000,11506932,https://www.nobelprize.org/prizes/physics/2007/summary/,Physics,The Nobel Prize in Physics,for the discovery of Giant Magnetoresistance,,814,male,https://www.nobelprize.org/laureate/814,Albert Fert,Albert,Fert,Albert Fert,1938-03-07,Carcassonne,France,Carcassonne,France,Europe,"Carcassonne, France",,,,,,,,Universit&eacute; Paris-Sud,Universit&eacute; Paris-Sud,Orsay,France,Orsay,France,"Orsay, France",Unit&eacute; Mixte de Physique CNRS/THALES,Unit&eacute; Mixte de Physique CNRS/THALES,Orsay,France,Orsay,France,"Orsay, France",,,,,,,,,,,,,,,USA,USA,USA,,,,,,,,,,,,,,,,,,,
2007,2,1/2,2007-10-09,received,10000000,11506932,https://www.nobelprize.org/prizes/physics/2007/summary/,Physics,The Nobel Prize in Physics,for the discovery of Giant Magnetoresistance,,815,male,https://www.nobelprize.org/laureate/815,Peter Grünberg,Peter,Grünberg,Peter Grünberg,1939-05-18,Plzen,Czechoslovakia,Plzen,Czech Republic,Europe,"Plzen, Czechoslovakia (now Czech Republic)",2018-04-09,Jülich,Germany,Jülich,Germany,Europe,"Jülich, Germany",Forschungszentrum J&uuml;lich,Forschungszentrum J&uuml;lich,Jülich,Germany,Jülich,Germany,"Jülich, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,1/3,2007-10-08,received,10000000,11506932,https://www.nobelprize.org/prizes/medicine/2007/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,,811,male,https://www.nobelprize.org/laureate/811,Mario R. Capecchi,Mario R.,Capecchi,Mario R. Capecchi,1937-10-06,Verona,Italy,Verona,Italy,Europe,"Verona, Italy",,,,,,,,University of Utah,University of Utah,"Salt Lake City, UT",USA,"Salt Lake City, UT",USA,"Salt Lake City, UT, USA",Howard Hughes Medical Institute,Howard Hughes Medical Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,1/3,2007-10-08,received,10000000,11506932,https://www.nobelprize.org/prizes/medicine/2007/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,,813,male,https://www.nobelprize.org/laureate/813,Oliver Smithies,Oliver,Smithies,Oliver Smithies,1925-06-23,Halifax,United Kingdom,Halifax,United Kingdom,Europe,"Halifax, United Kingdom",2017-01-10,"Chapel Hill, NC",USA,"Chapel Hill, NC",USA,North America,"Chapel Hill, NC, USA",University of North Carolina,University of North Carolina,"Chapel Hill, NC",USA,"Chapel Hill, NC",USA,"Chapel Hill, NC, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2,1/3,2007-10-08,received,10000000,11506932,https://www.nobelprize.org/prizes/medicine/2007/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,,812,male,https://www.nobelprize.org/laureate/812,Sir Martin J. Evans,Sir Martin J.,Evans,Sir Martin J. Evans,1941-01-01,Stroud,United Kingdom,Stroud,United Kingdom,Europe,"Stroud, United Kingdom",,,,,,,,Cardiff University,Cardiff University,Cardiff,United Kingdom,Cardiff,United Kingdom,"Cardiff, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2,1/3,2008-10-08,received,10000000,11124709,https://www.nobelprize.org/prizes/chemistry/2008/summary/,Chemistry,The Nobel Prize in Chemistry,"for the discovery and development of the green fluorescent protein, GFP",,830,male,https://www.nobelprize.org/laureate/830,Martin Chalfie,Martin,Chalfie,Martin Chalfie,1947-01-15,"Chicago, IL",USA,"Chicago, IL",USA,North America,"Chicago, IL, USA",,,,,,,,Columbia University,Columbia University,"New York, NY",USA,"New York, NY",USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
